,Title,Published_date,Views,Likes,Favourites,Comments,Month
0,Sanjeev Sanyal Explains The CORRECT Way Of Tax Collection #shorts,2025-02-01,902,193,0,1,Feb
1,ISRO Chairman Dr. S. Somanath OPENS UP About Sunita Williams #shorts,2025-02-01,920,643,0,4,Feb
2,Dr. S. Somanath OPENS UP About ISRO's Mindset #shorts,2025-02-01,5719,694,0,4,Feb
3,Why Did Ravan Go On A Retreat? ft. Yashodeep Deodhar #shorts,2025-01-31,23335,1546,0,11,Jan
4,MUST-VISIT Holy Places In Sri Lanka - Yashodeep Deodhar #shorts,2025-01-31,13898,1015,0,6,Jan
5,The POWER Of Vanar Sena In The Ramayana - Yashodeep Deodhar #shorts,2025-01-31,38652,3137,0,19,Jan
6,What Happened After Ravan's Death? ft. Yashodeep Deodhar #shorts,2025-01-31,40262,3288,0,5,Jan
7,Was Vibhishana A TRAITOR? ft. Yashodeep Deodhar #shorts,2025-01-31,19328,1303,0,12,Jan
8,The REALITY Of Ravan's Behaviour Towards Women - Yashodeep Deodhar #shorts,2025-01-31,71943,4694,0,97,Jan
9,The REAL TRUTH About The Valmiki Ramayana - Yashodeep Deodhar #shorts,2025-01-31,23970,1636,0,12,Jan
10,Working Smart vs. Working Hard - Marisa Peer #shorts,2025-01-31,7014,436,0,4,Jan
11,Will Virat Kohli Continue To Thrive After His 40s? ft. Muttiah Muralitharan #shorts,2025-01-31,14051,807,0,4,Jan
12,Shayamal Vallabhjee OPENS UP About Jasprit Bumrah Facing Trolling #shorts,2025-01-31,5657,324,0,4,Jan
13,What Does Open Source Mean? ft. Fabien Pinckaers #shorts,2025-01-30,17179,758,0,5,Jan
14,"""God Gave Each And Every One Of Us A Gift"" - Ronnie Coleman #shorts",2025-01-29,11476,711,0,3,Jan
15,The BEST Example of Devotion and Respect in the Ramayana - Yashodeep Deodhar #shorts,2025-01-29,140987,10320,0,54,Jan
16,BEST LIFE LESSONS From Valmiki's Ramayana - Yashodeep Deodhar #shorts,2025-01-28,31729,2006,0,12,Jan
17,Shri Ram's And Sita Maa's Last Year Of Vanvas - Yashodeep Deodhar #shorts,2025-01-28,99662,5453,0,17,Jan
18,How Did Hanuman Ji ACTUALLY Go To Lanka? ft. Yashodeep Deodhar #shorts,2025-01-28,252618,14225,0,193,Jan
19,How Maharshi Valmiki Describes Hanuman Ji's Enormous Figure - Yashodeep Deodhar #shorts,2025-01-28,152959,10533,0,168,Jan
20,The TRUTH About The Vanaras - Yashodeep Deodhar #shorts,2025-01-28,117711,7136,0,70,Jan
21,The Story Of A Misunderstanding Between Sugriva And Bali - Yashodeep Deodhar #shorts,2025-01-28,32347,2008,0,2,Jan
22,The REALITY Of A Mountain With A Trishul On It - Yashodeep Deodhar #shorts,2025-01-28,63466,4742,0,97,Jan
23,Hanuman - The Story They Don't Teach Us | Ramayana Part 3 With Yashodeep Deodhar | TRS,2025-01-28,356547,10903,0,898,Jan
24,WHY You Should Consider Going to the Himalayas for Your Sadhana - Yuvraj Srivastava #shorts,2025-01-28,60984,2944,0,21,Jan
25,The REALITY Of Temples In Kashmir - Yuvraj Srivastava #shorts,2025-01-28,331767,19419,0,246,Jan
