,Title,Published_date,Views,Likes,Favourites,Comments,Month
0,Budget 2025 Explained in HINDI | Abhi and Niyu,2025-02-01,66892,11646,0,469,Feb
1,HIGH TAXES are destroying India | Abhi and Niyu,2025-01-29,650720,46960,0,3521,Jan
2,How ELON MUSK exposed Pakistani men | Grooming Gangs of UK exposed | Abhi and Niyu,2025-01-26,537883,30540,0,1575,Jan
3,Why India loves ANIME? | Anime Industry Explained by Abhi and Niyu,2025-01-23,359030,25450,0,3110,Jan
4,Digital arrest SCAMS are DANGEROUS for India's economy | Abhi and Niyu,2025-01-18,548234,30579,0,1613,Jan
5,Trump is BUYING Greenland - Who's Next? | Abhi and Niyu,2025-01-15,768710,28856,0,1419,Jan
6,Trudeau resignation is a MASTERSTROKE | Impact on India | Abhi and Niyu,2025-01-11,844288,31559,0,2891,Jan
7,Why Pakistan is SCARED of Taliban? | Pakistan Explained by Abhi and Niyu,2025-01-05,1327502,72648,0,2014,Jan
8,Why 99% will fail in 2025 - be the winning 1% with Bhagwad Gita | Abhi and Niyu,2025-01-01,1201087,100523,0,2425,Jan
9,DID YOU KILL YOUR DREAM IN 2024?,2024-12-28,54971,5086,0,123,Dec
10,PM Modi’s NEXT masterplan for 2025 | One Nation One Election | Abhi and Niyu,2024-12-25,760385,32747,0,2011,Dec
11,Deep State EXPOSED | What is Deep State | Abhi and Niyu,2024-12-23,985223,42739,0,1511,Dec
12,How RUSSIA is stealing Korea | Korean political crisis explained by Abhi and Niyu,2024-12-18,773865,28433,0,860,Dec
13,PM Modi needs to learn from Syria | Syria crisis explained | Abhi and Niyu,2024-12-12,666154,22045,0,1133,Dec
14,Make DOLLAR great again - Trump's message to PM Modi | Abhi and Niyu,2024-12-07,1496744,37508,0,1094,Dec
15,Why Bangladesh wants to BAN ISKCON? #saveiskcon explained by Abhi and Niyu,2024-11-30,810202,58832,0,5834,Nov
16,Best Places to Die in India - Delhi edition | Abhi and Niyu,2024-11-23,675349,39485,0,2034,Nov
17,This SECRET made Israel super rich | Abhi and Niyu,2024-11-14,494327,21492,0,1469,Nov
18,Top 10 animated movies,2024-11-08,154839,11835,0,758,Nov
19,Why India LOVES smoking? | Smoking is COOL | Abhi and Niyu,2024-10-29,1280851,57819,0,3017,Oct
20,How Sugar is destroying your brain,2024-10-24,191252,16129,0,76,Oct
21,PM Modi's NEW CHALLENGE from Canada | Abhi and Niyu,2024-10-19,981385,47301,0,1579,Oct
22,Our Tribute to Ratan Tata,2024-10-16,669059,66426,0,1807,Oct
23,Does IRAN have a Nuclear weapon? | Abhi and Niyu,2024-10-11,871743,32360,0,1561,Oct
24,"Iran, world's most DANGEROUS country is India's FRIEND! | Israel vs Iran | Abhi and Niyu",2024-10-07,1341699,53377,0,2315,Oct
25,India's offices are TOX!C!,2024-10-05,833603,37939,0,3690,Oct
26,Top 5 BEST travel destinations in India,2024-09-30,271858,24355,0,299,Sep
27,Can MONEY make you happy?,2024-09-26,583031,48733,0,2004,Sep
28,Why INDIA can never be a SUPERPOWER like America | Abhi and Niyu,2024-09-25,1142611,46469,0,2510,Sep
29,Instagram is a lie,2024-09-23,166931,15520,0,103,Sep
30,Top 3 good movies that flopped,2024-09-20,1099876,111611,0,1035,Sep
31,"PM Modi needs to take Bangladesh seriously, here’s why | Abhi and Niyu",2024-09-18,682531,31271,0,5620,Sep
32,Kolkata RAPE & MURDER case - Why doctors are ANGRY? | Abhi and Niyu,2024-09-16,479112,40030,0,1691,Sep
33,One BIG problem with motivation,2024-09-13,145109,17277,0,113,Sep
34,China is SCARED of TAIWAN | Abhi and Niyu,2024-09-11,793155,38777,0,922,Sep
35,India’s BIGGEST festival exposed,2024-09-09,154887,20794,0,340,Sep
36,Can’t sleep? Watch this!,2024-09-03,700574,73027,0,444,Sep
37,Delete TELEGRAM or go to jail? | Telegram BAN explained | Abhi and Niyu,2024-09-02,1302076,53779,0,2570,Sep
38,Gold medal for India,2024-08-30,135464,15456,0,101,Aug
39,"India can NEVER be as rich as Canada, here's why | Canada economy explained by Abhi and Niyu",2024-08-30,1157981,63215,0,3112,Aug
40,Top 3 movies of 2024,2024-08-28,1802527,89999,0,902,Aug
41,Indian SCAMMERS are destroying India's image | Kolkata scam call centres exposed | Abhi and Niyu,2024-08-26,1157878,49273,0,4480,Aug
42,PM Modi must learn from Bangladesh,2024-08-24,205383,19827,0,233,Aug
43,Indian students are ANGRY at Education System | Abhi and Niyu,2024-08-22,1174954,75522,0,5247,Aug
44,Kolkata doctor case has SERIOUS problems | Abhi and Niyu,2024-08-19,1529437,125503,0,8594,Aug
45,UK Riots: PM Modi needs to learn from Europe's immigration crisis | Abhi and Niyu,2024-08-17,1108038,41811,0,2331,Aug
46,3 skills to get RICH,2024-08-17,153214,16767,0,65,Aug
47,Kolkata doctor R@PE case explained | Shocking details by Abhi and Niyu,2024-08-14,6795485,385752,0,14362,Aug
48,Indian AI will make you FIT,2024-08-14,236762,23549,0,139,Aug
49,Bangladesh Crisis: a WARNING for PM Modi | Abhi and Niyu,2024-08-12,1554773,69661,0,6421,Aug
50,Indian Cities will KILL YOU | Why Indian cities flood every year | Abhi and Niyu,2024-08-03,629954,32530,0,1647,Aug
51,Careers that can make you rich,2024-08-02,1790710,128862,0,742,Aug
52,Why RICH Indian farmers pay ZERO income tax | Abhi and Niyu,2024-07-31,690837,32702,0,3591,Jul
53,Budget 2024 PM Modi's BIG mistake | Budget 2024 explained | Abhi and Niyu,2024-07-23,2591095,125308,0,8041,Jul
54,"Dear PM Modi, TAXPAYERS are angry | Budget 2024 expectations by Abhi and Niyu",2024-07-20,1338535,84651,0,6886,Jul
55,Attack on Donald Trump - real or fake? | Abhi and Niyu,2024-07-17,1069941,44816,0,1602,Jul
56,"Canada is dangerous for Indians, here's why | Abhi and Niyu",2024-07-11,1024830,51646,0,2972,Jul
57,India needs to learn from Israel,2024-07-10,121263,9343,0,133,Jul
58,Putin's SMART move can destroy US Dollar | De-dollarization | Abhi and Niyu,2024-07-09,993451,38582,0,1222,Jul
59,Bring back Indian Gurukuls,2024-07-08,117709,10034,0,166,Jul
60,What if CHINA attacks AMERICA? | Military Strength compared | Abhi and Niyu,2024-07-06,1158725,37395,0,2099,Jul
61,Why poor Indians can NEVER be rich | Abhi and Niyu,2024-07-03,962134,47819,0,3116,Jul
62,Delhi has ZERO water | Delhi water crisis explained | Abhi and Niyu,2024-06-20,1138813,53526,0,3311,Jun
63,EVMs can be HACKED using mobile OTP? | a genuine question for Dhruv Rathee | Abhi and Niyu,2024-06-18,1209550,68897,0,7963,Jun
